id,Title,Year of release,Running time,Movie Rated,Rating,Description,Director
462, Winter in Wartime,2008,1h 43m,R,7,"In German-occupied Netherlands, a teenage boy gets involved in the Dutch resistance after coming to the aid of a wounded RAF pilot.",Martin Koolhoven
463, Dreamcatcher,2003,2h 14m,R,5.5,Friends on a camping trip discover that the town they're vacationing in is being plagued in an unusual fashion by parasitic aliens from outer space.,Lawrence Kasdan
464, Epic Movie,2007,1h 26m,PG-13,2.4,"A spoof on previous years' epic movies (The Da Vinci Code (2006), The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005) + 20 more), TV series, music videos and celebs. 4 orphans are on an epic adventure.",Jason Friedberg
465, Gremlins,1984,1h 46m,PG,7.3,A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,Joe Dante
466, Miss Congeniality,2000,1h 49m,PG-13,6.3,"Gracie Hart, a tomboyish detective, is made to infiltrate the Miss United States beauty pageant as a contestant after her department learns that the event is under threat from an anonymous bomber.",Donald Petrie
467, John Q,2002,1h 56m,PG-13,7.1,John Quincy Archibald takes a hospital emergency room hostage when his insurance won't cover his son's heart transplant.,Nick Cassavetes
468, Spy Kids,2001,1h 28m,PG,5.6,"Two kids become spies in attempt to save their ex-spies parents from an evil mastermind. Armed with a bag of high tech gadgets, Carmen and Juni will bravely crisscross the globe on a mission to save their parents and maybe even the world.",Robert Rodriguez
469, Saw II,2005,1h 33m,R,6.6,A detective and his team must rescue 8 people trapped in a factory by a man known as Jigsaw.,Darren Lynn Bousman
470, Did You Hear About the Morgans?,2009,1h 43m,PG-13,4.9,"In New York City, an estranged couple who witness a murder are relocated to small town Wyoming as part of the Witness Protection Program.",Marc Lawrence
471, DOA: Dead or Alive,2006,1h 27m,PG-13,4.8,"The world's best fighters are invited to DOA, an invitational martial arts contest. There, four female rival fighters will have to work together to uncover the secret that the organizer of the tournament is trying to hide.",Corey Yuen
472, Catwoman,2004,1h 44m,PG-13,3.4,"A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.",Pitof
473, Scary Movie 3,2003,1h 24m,PG-13,5.5,"Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion.",David Zucker
474, Freaky Friday,2003,1h 37m,PG,6.3,"An overworked mother and her daughter did not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",Mark Waters
475, Beverly Hills Cop,1984,1h 45m,R,7.4,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,Martin Brest
476, Aliens vs,2007,1h 34m,R,4.6,"Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.",Colin Strause
477, Tomorrow Never Dies,1997,1h 59m,PG-13,6.5,James Bond sets out to stop a media mogul's plan to induce a war between China and the United Kingdom.,Roger Spottiswoode
478, Alien vs,2004,1h 41m,PG-13,5.7,"During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.",Paul W.S. Anderson
479, What a Girl Wants,2003,1h 45m,PG,5.8,"An American teenager learns that her father is a wealthy British politician running for office. Although she is eager to find him, she realizes it could cause a scandal and cost him the election.",Dennie Gordon
480, Evil Dead II,1987,1h 24m,R,7.7,"Ash Williams, the lone survivor of an earlier onslaught of flesh-possessing spirits, holes up in a cabin with a group of strangers while the demons continue their attack.",Sam Raimi
481, My Bloody Valentine,2009,1h 41m,R,5.4,"Tom returns to his hometown on the tenth anniversary of the Valentine's night massacre that claimed the lives of 22 people. Instead of a homecoming, Tom finds himself suspected of committing the murders, and it seems like his old flame is the only one that believes he's innocent.",Patrick Lussier
482, Passengers,2008,1h 33m,PG-13,5.8,A grief counselor working with a group of plane-crash survivors finds herself at the root of a mystery when her clients begin to disappear.,Rodrigo García
483, I Know What You Did Last Summer,1997,1h 41m,R,5.8,Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.,Jim Gillespie
484, The Texas Chainsaw Massacre: The Beginning,2006,1h 31m,R,5.8,"Before being sent to serve in Vietnam, two brothers and their girlfriends take one last road trip, but when they get into an accident, a terrifying experience will take them to a secluded house of horrors, with a chainsaw-wielding killer.",Jonathan Liebesman
485, Paycheck,2003,1h 59m,PG-13,6.3,What seemed like a breezy idea that would net an engineer millions of dollars ends up leaving him on the run for his life and trying to piece together why he's being chased.,John Woo
486, Starsky & Hutch,2004,1h 41m,PG-13,6.1,"Two streetwise cops bust criminals in their red and white Ford Gran Torino, with the help of a police snitch called ""Huggy Bear"".",Todd Phillips
487, The Princess Diaries 2: Royal Engagement,2004,1h 53m,G,5.8,"Now settled in Genovia, Princess Mia faces a new revelation: she is being primed for an arranged marriage to an English suitor.",Garry Marshall
488, Mad Max 2: The Road Warrior,1981,1h 36m,R,7.6,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community get rid of a horde of bandits.",George Miller
489, Tarzan,1999,1h 28m,G,7.3,A man raised by gorillas must decide where he really belongs when he discovers he is a human.,Chris Buck
490, Miami Vice,2006,2h 12m,R,6.1,"Based on the 1980s TV action/drama, this update focuses on vice detectives Crockett and Tubbs as their respective personal and professional lives become dangerously intertwined.",Michael Mann
491, Shark Tale,2004,1h 30m,PG,6,"When a son of a gangster shark boss is accidentally killed while on the hunt, his would-be prey and his vegetarian brother decide to use the incident to their own advantage.",Bibo Bergeron
492, The Time Machine,2002,1h 36m,PG-13,6,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.",Simon Wells
493, The Grudge,2004,1h 31m,PG-13,5.9,"An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim.",Takashi Shimizu
494, Freddy vs,2003,1h 37m,R,5.7,"Freddy Krueger and Jason Voorhees return to terrorize the teenagers of Elm Street. Only this time, they're out to get each other, too.",Ronny Yu
495, Behind Enemy Lines,2001,1h 46m,PG-13,6.4,"A disillusioned pilot shot down over war-torn Bosnia goes on the run from the local military and an assassin, as his commanding officer risks all to save him.",John Moore
496, Saw V,2008,1h 32m,R,5.8,"Following Jigsaw's grisly demise, Mark Hoffman is commended as a hero, but Agent Strahm is suspicious, and delves into Hoffman's past. Meanwhile, another group of people are put through a series of gruesome tests.",David Hackl
497, Runaway Jury,2003,2h 7m,PG-13,7.1,A juror on the inside and a woman on the outside manipulate a court trial involving a major gun manufacturer.,Gary Fleder
498, The Eye,2008,1h 38m,PG-13,5.4,"Violinist Sydney Wells was accidentally blinded by her sister Helen when she was five years old. She submits to a cornea transplantation, and while recovering from the operation, she realizes that she is seeing dead people.",David Moreau
499, Romeo Must Die,2000,1h 55m,R,6.1,An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.,Andrzej Bartkowiak
500, Rules of Engagement,2000,2h 8m,R,6.4,An attorney defends an officer on trial for ordering his troops to fire on civilians after they stormed a U.S. embassy in a Middle Eastern country.,William Friedkin
501, Analyze That,2002,1h 36m,R,5.9,"Mobster Paul Vitti is released into Dr. Ben Sobol's care, where only more chaos ensues.",Harold Ramis
502, Get Carter,2000,1h 42m,R,5.1,A Las Vegas mob enforcer travels back to his hometown to investigate his brother's mysterious death.,Stephen Kay
503, Freddy Got Fingered,2001,1h 27m,R,4.7,"An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave, he begins to spread rumors that his father is sexually abusing Freddy.",Tom Green
504, Transformers,2007,2h 24m,PG-13,7,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",Michael Bay
505, Hostel: Part II,2007,1h 34m,R,5.5,Three American college students studying abroad are lured to a Slovakian hostel and discover the grim reality behind it.,Eli Roth
506, Beerfest,2006,1h 50m,R,6.2,"Two brothers travel to Germany for Oktoberfest, only to stumble upon a secret, centuries-old competition described as a ""Fight Club"" with beer games.",Jay Chandrasekhar
507, The Condemned,2007,1h 53m,R,6,"Jack Conrad is awaiting the death penalty in a corrupt Central American prison. He is ""purchased"" by a wealthy television producer and taken to a desolate island where he must fight to the death against nine other condemned killers from all corners of the world, with freedom going to the sole survivor.",Scott Wiper
508, Predator 2,1990,1h 48m,R,6.3,"The Predator returns to Earth, this time to stake a claim on the war-torn streets of a dystopian Los Angeles.",Stephen Hopkins
509, How the Grinch Stole Christmas,2000,1h 44m,PG,6.3,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",Ron Howard
510, The Wicker Man,2006,1h 42m,PG-13,3.8,"A sheriff investigating the disappearance of a young girl from a small island discovers there's a larger mystery to solve among the island's secretive, neo-pagan community.",Neil LaBute
511, Assault on Precinct 13,2005,1h 49m,R,6.3,"A police sergeant must rally the cops and prisoners together to protect themselves on New Year's Eve, just as corrupt policeman surround the station with the intent of killing all to keep their deception in the ranks.",Jean-François Richet
512, Robots,2005,1h 31m,PG,6.4,"In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management.",Chris Wedge
513, Mr,2002,1h 36m,PG-13,5.8,"A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way.",Steven Brill
514, Superhero Movie,2008,1h 15m,PG-13,4.7,"Orphaned high school student Rick Riker is bitten by a radioactive dragonfly, develops super powers (except for the ability to fly), and becomes a hero.",Craig Mazin
515, Lilo & Stitch,2002,1h 25m,PG,7.3,"A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.",Dean DeBlois
516, Saw IV,2007,1h 33m,R,5.9,"Despite Jigsaw's death, and in order to save the lives of two of his colleagues, Lieutenant Rigg is forced to take part in a new game, which promises to test him to the limit.",Darren Lynn Bousman
517, 40 Days and 40 Nights,2002,1h 36m,R,5.6,"After a brutal break-up, a young man vows to stay celibate during the forty days of Lent, but finds the girl of his dreams and is unable to do anything about it.",Michael Lehmann
518, Rambo: First Blood Part II,1985,1h 36m,R,6.5,Rambo returns to the jungles of Vietnam on a mission to infiltrate an enemy base-camp and rescue the American POWs still held captive there.,George P. Cosmatos
519, Enter the Dragon,1973,1h 42m,R,7.6,A Shaolin martial artist travels to an island fortress to spy on an opium lord - who is also a former monk from his temple - under the guise of attending a fighting tournament.,Robert Clouse
520, The Addams Family,1991,1h 39m,PG-13,6.9,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,Barry Sonnenfeld
521, The Spiderwick Chronicles,2008,1h 36m,PG,6.5,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",Mark Waters
522, Elektra,2005,1h 37m,PG-13,4.7,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",Rob Bowman
523, 8MM,1999,2h 3m,R,6.6,"A private investigator is hired to discover if a ""snuff film"" is authentic or not.",Joel Schumacher
524, Æon Flux,2005,1h 33m,PG-13,5.4,"Æon Flux is a mysterious assassin working for the Monicans, a group of rebels trying to overthrow the government. When she is sent on a mission to kill the Chairman, a whole new mystery is found.",Karyn Kusama
525, Joy Ride,2001,1h 37m,R,6.6,"Three young people on a road trip from Colorado to New Jersey talk to a trucker on their CB radio, then must escape when he turns out to be a psychopathic killer.",John Dahl
526, Space Jam,1996,1h 28m,PG,6.5,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",Joe Pytka
527, Goldfinger,1964,1h 50m,Approved,7.7,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",Guy Hamilton
528, How High,2001,1h 33m,R,6.2,"Two guys by the name of Silas and Jamal decided to one day smoke something magical, which eventually helps them to ace their college entrance exam.",Jesse Dylan
529, Home Alone 2: Lost in New York,1992,2h,PG,6.9,"Kevin accidentally boards a flight to New York City and gets separated from his family who are on their way to Miami. He then bumps into two of his old enemies, who plan to rob a toy store.",Chris Columbus
530, Flash Gordon,1980,1h 51m,PG,6.5,A football player and his friends travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,Mike Hodges
531, The Naked Gun: From the Files of Police Squad!,1988,1h 25m,PG-13,7.6,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.,David Zucker
532, Conan the Destroyer,1984,1h 43m,PG,5.9,Conan leads a ragtag group of adventurers on a quest for a princess.,Richard Fleischer
533, Semi-Pro,2008,1h 31m,R,5.8,"Jackie Moon, the owner-coach-player of the American Basketball Association's Flint Michigan Tropics, rallies his teammates to make their NBA dreams come true.",Kent Alterman
534, Ghostbusters II,1989,1h 48m,PG,6.6,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.,Ivan Reitman
535, Deep Blue Sea,1999,1h 45m,R,5.9,"Searching for a cure to Alzheimer's disease, a group of scientists on an isolated research facility become the prey, as a trio of intelligent sharks fight back.",Renny Harlin
536, Surf's Up,2007,1h 25m,PG,6.7,"A behind-the-scenes look at the annual Penguin World Surfing Championship, and its newest participant, up-and-comer Cody Maverick.",Ash Brannon
537, My Sassy Girl,2008,1h 32m,PG-13,6.2,"A sweet Midwestern guy with his life planned out for himself is wooed, groomed, and ultimately dumped by a complicated, elusive gal.",Yann Samuell
538, In Her Shoes,2005,2h 10m,PG-13,6.5,"Strait-laced Rose breaks off relations with her party girl sister, Maggie, over an indiscretion involving Rose's boyfriend. The chilly atmosphere is broken with the arrival of Ella, the grandmother neither sister knew existed.",Curtis Hanson
539, The X Files: I Want to Believe,2008,1h 44m,PG-13,5.9,Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent.,Chris Carter
540, Evolution,2001,1h 41m,PG-13,6.1,"A fire-fighting cadet, two college professors, and a geeky but sexy government scientist work against an alien organism that has been rapidly evolving since its arrival on Earth inside a meteor.",Ivan Reitman
541, Dr,1962,1h 50m,PG,7.2,A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,Terence Young
542," You, Me and Dupree",2006,1h 50m,PG-13,5.6,"A best man (Wilson) stays on as a houseguest with the newlyweds, much to the couple's annoyance.",Anthony Russo
543, The Wedding Planner,2001,1h 43m,PG-13,5.3,Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom.,Adam Shankman
544, Nanny McPhee,2005,1h 37m,PG,6.6,"Widower Cedric Brown hires Nanny McPhee to care for his seven rambunctious children, who have chased away all previous nannies. Taunted by Simon and his siblings, Nanny McPhee uses mystical powers to instill discipline.",Kirk Jones
545, Thir13en Ghosts,2001,1h 31m,R,5.6,"When Cyrus Kriticos, a very rich collector of unique things, dies, he leaves his house, fortune, and his prized collection of ghosts.",Steve Beck
546, Lara Croft: Tomb Raider - The Cradle of Life,2003,1h 57m,PG-13,5.5,"Adventurer Lara Croft goes on a quest to save the mythical Pandora's Box, before an evil scientist finds it, and recruits a former Marine turned mercenary to assist her.",Jan de Bont
547, Gothika,2003,1h 38m,R,5.8,"A psychiatrist awakens as a patient in a mental institution, with no memory of the murder she's accused of committing. As she tries to regain her memory, a vengeful spirit manipulates her.",Mathieu Kassovitz
548, Mr,2007,1h 30m,G,6.4,"Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling, and true love.",Steve Bendelack
549, Fun with Dick and Jane,2005,1h 30m,PG-13,6.2,"When an affluent couple lose all their money following a series of blunders, they turn to a life of crime to make ends meet.",Dean Parisot
550, Psycho,1998,1h 45m,R,4.6,"In Gus Van Sant's remake of Alfred Hitchcock's classic, young female bank employee Marion Crane steals money from her boss in Phoenix, flees town, and arrives at Fairvale, California's rundown Bates Motel, which has secrets of its own.",Gus Van Sant
551, The Polar Express,2004,1h 40m,G,6.6,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",Robert Zemeckis
552, Rambo III,1988,1h 42m,R,5.8,Rambo mounts a one-man mission to rescue his friend Colonel Trautman from the clutches of the formidable invading Soviet forces in Afghanistan.,Peter MacDonald
553, Friday the 13th,1980,1h 35m,R,6.4,"A group of teenage camp counselors attempt to re-open an abandoned summer camp with a tragic past, but they are stalked by a mysterious, relentless killer.",Sean S. Cunningham
554, The Rookie,2002,2h 7m,G,6.9,A Texas baseball coach makes the major league after agreeing to try out if his high school team made the playoffs.,John Lee Hancock
555, Universal Soldier,1992,1h 42m,R,6.1,Soldiers who were killed in action are brought back to life in a top secret military experiment that creates superhuman warriors.,Roland Emmerich
556, The Family Man,2000,2h 5m,PG-13,6.8,"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.",Brett Ratner
557, Bad Santa,2003,1h 32m,R,7,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,Terry Zwigoff
558, Che: Part One,2008,2h 14m,Not Rated,7.1,"In 1956, Ernesto 'Che' Guevara and a band of Castro-led Cuban exiles mobilize an army to topple the regime of dictator Fulgencio Batista.",Steven Soderbergh
559, Rampage,2009,1h 25m,R,6.2,A man with a thirst for revenge builds a full body armor from Kevlar and goes on a killing spree.,Uwe Boll
560, The Long Kiss Goodnight,1996,2h 1m,R,6.8,"Samantha Caine lives in a small town with her daughter. Eight years ago she emerged, two months pregnant, from a nearby river with no memory of her past or who she is. However, she's getting closer to finding out about her past.",Renny Harlin
561, The Hunchback of Notre Dame,1996,1h 31m,G,7,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.",Gary Trousdale
562, Hide and Seek,2005,1h 41m,R,5.9,"As a widower tries to piece together his life in the wake of his wife's suicide, his daughter finds solace, at first, in her imaginary friend.",John Polson
563, 101 Dalmatians,1996,1h 43m,G,5.7,An evil high-fashion designer plots to steal dalmatian puppies in order to make an extravagant fur coat but creates an extravagant mess instead.,Stephen Herek
564, Analyze This,1999,1h 43m,R,6.7,A comedy about a psychiatrist whose number-one patient is an insecure mob boss.,Harold Ramis
565, Under Siege,1992,1h 43m,R,6.5,An ex-Navy Seal turned cook is the only person who can stop a group of terrorists when they seize control of a U.S. battleship.,Andrew Davis
566, Wayne's World 2,1993,1h 35m,PG-13,6.2,The inseparable duo try to organize a rock concert while Wayne must fend off a record producer who has an eye for his girlfriend.,Stephen Surjik
567, Good Bye Lenin!,2003,2h 1m,R,7.7,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",Wolfgang Becker
568, Bedazzled,2000,1h 33m,PG-13,6.1,"Hopeless dweeb Elliot Richards is granted seven wishes by the Devil to snare Allison, the girl of his dreams, in exchange for his soul.",Harold Ramis
569, Final Fantasy: The Spirits Within,2001,1h 46m,PG-13,6.4,A scientist makes a last stand on Earth with the help of a ragtag team of soldiers against an invasion of alien phantoms.,Hironobu Sakaguchi
570, Live and Let Die,1973,2h 1m,PG,6.7,James Bond is sent to stop a diabolically brilliant heroin magnate armed with a complex organisation and a reliable psychic tarot card reader.,Guy Hamilton
571, A View to a Kill,1985,2h 11m,PG,6.3,"The recovery of a microchip from the body of a fellow British secret agent leads James Bond to mad industrialist Max Zorin, who is scheming to cause massive destruction.",John Glen
572, Two for the Money,2005,2h 2m,R,6.2,"After suffering a career-ending knee injury, a former college football star aligns himself with one of the most renowned touts in the sports-gambling business.",D.J. Caruso
573, Flight of the Phoenix,2004,1h 53m,PG-13,6.1,Survivors of a plane crash in the Mongolian desert work together to build a new plane.,John Moore
574, Sister Act 2: Back in the Habit,1993,1h 47m,PG,5.7,Showgirl Deloris Van Cartier returns as Sister Mary Clarence to teach music to a group of Catholic students whose run-down school is slated for closure.,Bill Duke
575, Johnny English,2003,1h 27m,PG,6.3,"After a sudden attack on MI7, Johnny English, Britain's most confident, yet unintelligent spy, becomes Britain's only spy.",Peter Howitt
576, Post Grad,2009,1h 28m,PG-13,5.3,"Ryden Malby graduates from college and is forced to move back into her childhood home with her eccentric family, while she attempts to find a job, the right guy, and just a hint of where her life is headed.",Vicky Jenson
577, The Eye,2008,1h 38m,PG-13,5.4,"Violinist Sydney Wells was accidentally blinded by her sister Helen when she was five years old. She submits to a cornea transplantation, and while recovering from the operation, she realizes that she is seeing dead people.",David Moreau
578, Kingpin,1996,1h 54m,PG-13,6.9,"A star bowler whose career was prematurely ""cut off"" hopes to ride a new prodigy to success and riches.",Bobby Farrelly
579, Super Mario Bros,1993,1h 44m,PG,4.2,"Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.",Annabel Jankel
580, The Whole Ten Yards,2004,1h 38m,PG-13,5.5,"Jimmy the Tulip's quiet new life is shaken up by his old pal Oz, whose wife has been kidnapped by a Hungarian mob. The Tulip and his wife Jill spring into action.",Howard Deutch
581, Peter Pan,1953,1h 17m,G,7.3,"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.",Clyde Geronimi
582, Windtalkers,2002,2h 14m,R,6.1,Two U.S. Marines in World War II are assigned to protect the Navajo Marines who use their native language as an unbreakable radio cipher.,John Woo
583, Final Fantasy VII: Advent Children,2005,1h 41m,PG-13,7.1,An ex-mercenary is forced out of isolation when three mysterious men kidnap and brainwash the city's children afflicted with the Geostigma disease.,Tetsuya Nomura
584, Stuart Little,1999,1h 24m,PG,6,"When the Littles adopt Stuart, the mouse, George is initially unwelcoming to his new brother, the family cat, Snowbell, is even less enthusiastic. Stuart resolves to face these difficulties with as much pluck and courage as he can muster.",Rob Minkoff
585, Jeepers Creepers,2001,1h 30m,R,6.2,A brother and sister driving home through isolated countryside for spring break encounter a flesh-eating creature which is in the midst of its ritualistic eating spree.,Victor Salva
586, Deuce Bigalow: Male Gigolo,1999,1h 28m,R,5.7,"An average aquarium cleaner house-sits for a gigolo, only to be forced to become one himself.",Mike Mitchell
587, Knockaround Guys,2001,1h 32m,R,6.1,"The wannabe sons of mobsters go to a remote town in the Midwest, and get themselves into more trouble than anyone could anticipate.",Brian Koppelman
588, The Messengers,2007,1h 30m,PG-13,5.3,"An ominous darkness invades a seemingly serene sunflower farm in North Dakota, and the Solomon family is torn apart by suspicion, mayhem and murder.",Danny Pang
589, Cool Runnings,1993,1h 38m,PG,7,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.",Jon Turteltaub
590, Norbit,2007,1h 42m,PG-13,4.2,"A mild-mannered guy, who is married to a monstrous woman, meets the woman of his dreams, and schemes to find a way to be with her.",Brian Robbins
591, Open Season 2,2008,1h 16m,PG,5.5,"After falling head over hooves in love with Giselle, Elliot's road to the altar takes a slight detour when Mr. Weenie is 'kidnapped' by his human owners. A rescue mission starts. Oh, and there's also a group of pampered pets.",Matthew O'Callaghan
592, Far Cry,2008,1h 35m,R,3.2,An ex-special forces soldier turned boatman is hired by a journalist to investigate a top-secret military base on a nearby island.,Uwe Boll
593, Lethal Weapon 2,1989,1h 54m,R,7.3,Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.,Richard Donner
594, Moonraker,1979,2h 6m,PG,6.2,"James Bond investigates the mid-air theft of a space shuttle, and discovers a plot to commit global genocide.",Lewis Gilbert
595, Never Say Never Again,1983,2h 14m,PG,6.1,"James Bond is called upon to try to recover nuclear bombs stolen by Spectre, but he will have to get rid of a professional assassin, hired especially to eliminate him.",Irvin Kershner
596, Goal! The Dream Begins,2005,1h 58m,PG,6.7,The extremely talented Santiago Muñez is spotted by a Newcastle United scout and given a chance at professional football.,Danny Cannon
597, Ali G Indahouse,2002,1h 25m,R,6.2,"Ali G unwittingly becomes a pawn in the Chancellor's plot to overthrow the Prime Minister of Great Britain. However, Ali is embraced by the nation as a voice of the youth, making the PM and his government more popular than ever.",Mark Mylod
598, Dinosaur,2000,1h 22m,PG,6.4,An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.,Eric Leighton
599, Alone in the Dark,2005,1h 36m,R,2.4,A detective of the paranormal slowly unravels mysterious events with deadly results.,Uwe Boll
600, Pinocchio,1940,1h 28m,Approved,7.5,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",Norman Ferguson
601, Stan Helsing,2009,1h 30m,R,3.6,"A spoof on many horror movie series. Ending his shift at the video rental store, Stan is picked up by his BFF and 2 cute girls, all going to a Halloween party. Will they even get there?",Bo Zenga
602, Big Momma's House,2000,1h 39m,PG-13,5.2,"FBI agent Malcolm Turner goes undercover as a large, elderly woman to catch an escaped convict, but complications arise when he bonds with Sherry, the convict's ex-girlfriend and the woman's granddaughter.",Raja Gosnell
603, Conspiracy Theory,1997,2h 15m,R,6.7,"A taxi driver with a penchant for conspiracy theories becomes a target after one of these theories turns out to be true. Unfortunately, to save himself, he has to figure out which theory it is.",Richard Donner
604, Naked Gun 33 1/3: The Final Insult,1994,1h 23m,PG-13,6.5,Frank Drebin comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.,Peter Segal
605, Octopussy,1983,2h 11m,PG,6.5,"A fake Fabergé egg recovered from the body of a fellow agent leads James Bond to uncover a jewel smuggling operation led by the mysterious Octopussy, and a plot to blow up a NATO air base.",John Glen
606, Torque,2004,1h 24m,PG-13,4.1,A biker returns from Thailand to set things straight with his girlfriend. One gang leader wants him for delivery of 2 motorbikes filled with crystal meth and another gang leader wants him for murdering his brother.,Joseph Kahn
607, Jaws: The Revenge,1987,1h 29m,PG-13,3,Chief Brody's widow believes that her family is deliberately being targeted by another shark in search of revenge.,Joseph Sargent
608, Home Alone 3,1997,1h 42m,PG,4.6,"Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car.",Raja Gosnell
609, He Got Game,1998,2h 16m,R,6.9,A basketball player's father must try to convince him to go to a college so he can get a shorter sentence.,Spike Lee
610, Shaft,2000,1h 39m,R,6,New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.,John Singleton
611, Babe,1995,1h 31m,G,6.9,"Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals accept him?",Chris Noonan
612, The Gift,2000,1h 51m,R,6.7,"Annabelle Wilson, a woman with psychic abilities, tries to find Jessica King, a young socialite who has mysteriously disappeared. While the search continues, she starts to suspect the townspeople.",Sam Raimi
613, Cheaper by the Dozen 2,2005,1h 34m,PG,5.5,The Bakers find themselves competing with a rival family of eight children while on vacation.,Adam Shankman
614, The Texas Chain Saw Massacre,1974,1h 23m,R,7.4,"Five friends head out to rural Texas to visit the grave of a grandfather. On the way they stumble across what appears to be a deserted house, only to discover something sinister within. Something armed with a chainsaw.",Tobe Hooper
615, Looney Tunes: Back in Action,2003,1h 31m,PG,5.8,Bugs Bunny and Daffy Duck team up with an aspiring stuntman and a studio executive in order to rescue the stuntman's missing father and locate a mythical diamond before the head of a major conglomerate uses it for his own wicked deeds.,Joe Dante
616, The Reaping,2007,1h 39m,R,5.6,"A former Christian missionary, who specializes in debunking religious phenomena, investigates a small town which seems to be suffering from the 10 biblical plagues.",Stephen Hopkins
